lineage	count
d_Viruses	181546305
d_Viruses;p_Uroviricota;c_Caudoviricetes	138955049
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales	138955049
d_Viruses;p_Uroviricota	138955050
d_Bacteria	156173723
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae	22619924
d_Bacteria;p_Proteobacteria	42841709
d_Bacteria;p_Cyanobacteria	38535487
d_Bacteria;p_Cyanobacteria;o_Synechococcales	22898599
d_Bacteria;p_Cyanobacteria;o_Synechococcales;f_Synechococcaceae	22306964
d_Bacteria;p_Cyanobacteria;o_Synechococcales;f_Synechococcaceae;g_Synechococcus	21451471
d_Bacteria;p_Cyanobacteria;o_Synechococcales;f_Synechococcaceae;g_Synechococcus;s_Synechococcus sp. WH 8102	19385503
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria	20709446
d_Eukaryota	14224377
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria	6613576
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae	5946235
d_Bacteria;p_Actinobacteria	9504721
d_Bacteria;p_Actinobacteria;c_Actinobacteria	9455960
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae	2507984
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria	8609476
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Bellamyvirus	1988130
d_Eukaryota;k_Metazoa	6304070
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales	7033507
d_Viruses;s_Prokaryotic dsDNA virus sp.	2632062
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales	4613608
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales	2079113
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Podoviridae	2979621
d_Bacteria;p_Bacteroidetes	3190010
d_Archaea	1135509
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales	4575987
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae	4534174
d_Eukaryota;k_Viridiplantae	2153736
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales	4311839
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales	3684644
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Llyrvirus	1300678
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Llyrvirus;s_Synechococcus virus SSKS1	1300678
d_Eukaryota;k_Metazoa;p_Chordata	2085189
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales	694766
d_Bacteria;p_Bacteroidetes;c_Flavobacteriia	1672688
d_Eukaryota;k_Metazoa;p_Arthropoda	2645475
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae	2073234
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae;s_Synechococcus phage S-CBS3	562907
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;s_Synechococcus phage S-PM2	774579
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales	2214287
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales	1185395
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae	1970642
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae	2604289
d_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales	1394277
d_Eukaryota;k_Fungi	1280168
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptomycetales	1074417
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptomycetales;f_Streptomycetaceae	1074417
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Cymopoleiavirus	429123
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces	1041432
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae	1049889
d_Archaea;p_Thaumarchaeota	446956
d_Eukaryota;k_Viridiplantae;p_Streptophyta	1156879
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Salacisavirus	1057577
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia	1378072
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas	968995
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Azospirillum	1614702
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae	3221265
d_Bacteria;p_Firmicutes	820120
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida	1046058
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Bellamyvirus;s_Synechococcus phage S-SM2	438904
d_Viruses;k_Bamfordvirae	683648
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Siphoviridae;s_Synechococcus phage S-CBS4	604701
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota	646921
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta	1489401
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes	641953
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Primates	1168585
d_Bacteria;p_Tenericutes	535620
